,cve,assigner,published,title,description,vendor,product,affected versions,rating
64,CVE-2025-0123,palo_alto,2025-04-11T17:43:05.126Z,PAN-OS: Information Disclosure Vulnerability in HTTP/2 Packet Captures,"A vulnerability in the Palo Alto Networks PAN-OS® software enables unlicensed administrators to view clear-text data captured using the  packet capture feature https://docs.paloaltonetworks.com/pan-os/11-0/pan-os-admin/monitoring/take-packet-captures/take-a-custom-packet-capture  in decrypted HTTP/2 data streams traversing network interfaces on the firewall. HTTP/1.1 data streams are not impacted.

In normal conditions, decrypted packet captures are available to firewall administrators after they obtain and install a free Decryption Port Mirror license. The license requirement ensures that this feature can only be used after approved personnel purposefully activate the license. For more information, review how to  configure decryption port mirroring https://docs.paloaltonetworks.com/network-security/decryption/administration/monitoring-decryption/configure-decryption-port-mirroring .

The administrator must obtain network access to the management interface (web, SSH, console, or telnet) and successfully authenticate to exploit this issue. Risk of this issue can be greatly reduced by restricting access to the management interface to only trusted administrators and from only internal IP addresses according to our recommended  critical deployment guidelines https://live.paloaltonetworks.com/t5/community-blogs/tips-amp-tricks-how-to-secure-the-management-access-of-your-palo/ba-p/464431 .

Customer firewall administrators do not have access to the packet capture feature in Cloud NGFW. This feature is available only to authorized Palo Alto Networks personnel permitted to perform troubleshooting.

Prisma® Access is not impacted by this vulnerability.",PALO ALTO NETWORKS,Cloud NGFW; PAN-OS; Prisma Access,10.1.0; 10.2.0; 11.1.0; 11.2.0; All,hot
65,CVE-2025-0124,palo_alto,2025-04-11T01:55:33.563Z,PAN-OS: Authenticated File Deletion Vulnerability on the Management Web Interface,"An authenticated file deletion vulnerability in the Palo Alto Networks PAN-OS® software enables an authenticated attacker with network access to the management web interface to delete certain files as the “nobody” user; this includes limited logs and configuration files but does not include system files.

The attacker must have network access to the management web interface to exploit this issue. You greatly reduce the risk of this issue by restricting access to the management web interface to only trusted internal IP addresses according to our recommended  critical deployment guidelines https://live.paloaltonetworks.com/t5/community-blogs/tips-amp-tricks-how-to-secure-the-management-access-of-your-palo/ba-p/464431 .

This issue affects Cloud NGFW. However, this issue does not affect Prisma® Access software.",PALO ALTO NETWORKS,Cloud NGFW; PAN-OS; Prisma Access,10.1.0; 10.2.0; 11.0.0; 11.1.0; 11.2.0; All,hot
66,CVE-2025-0125,palo_alto,2025-04-11T01:56:17.171Z,PAN-OS: Improper Neutralization of Input in the Management Web Interface,"An improper input neutralization vulnerability in the management web interface of the Palo Alto Networks PAN-OS® software enables a malicious authenticated read-write administrator to impersonate another legitimate authenticated PAN-OS administrator.


The attacker must have network access to the management web interface to exploit this issue. You greatly reduce the risk of this issue by restricting access to the management web interface to only trusted internal IP addresses according to our recommended  critical deployment guidelines https://live.paloaltonetworks.com/t5/community-blogs/tips-amp-tricks-how-to-secure-the-management-access-of-your-palo/ba-p/464431 .

This issue does not affect Cloud NGFW and all Prisma® Access instances.",PALO ALTO NETWORKS,Cloud NGFW; PAN-OS; Prisma Access,10.1.0; 10.2.0; 11.0.0; 11.1.0; 11.2.0; All,hot
67,CVE-2025-0126,palo_alto,2025-04-11T01:57:12.662Z,PAN-OS: Session Fixation Vulnerability in GlobalProtect SAML Login,"When configured using SAML, a session fixation vulnerability in the GlobalProtect™ login enables an attacker to impersonate a legitimate authorized user and perform actions as that GlobalProtect user. This requires the legitimate user to first click on a malicious link provided by the attacker.

The SAML login for the PAN-OS® management interface is not affected. Additionally, this issue does not affect Cloud NGFW and all Prisma® Access instances are proactively patched.",PALO ALTO NETWORKS,Cloud NGFW; PAN-OS; Prisma Access,10.1.0; 10.2.0; 11.0.0; 11.1.0; 11.2.0; All,hot
68,CVE-2025-0127,palo_alto,2025-04-11T02:01:35.087Z,PAN-OS: Authenticated Admin Command Injection Vulnerability in PAN-OS VM-Series,"A command injection vulnerability in Palo Alto Networks PAN-OS® software enables an authenticated administrator to bypass system restrictions and run arbitrary commands as a root user. This issue is only applicable to PAN-OS VM-Series. This issue does not affect firewalls that are already deployed.

Cloud NGFW and Prisma® Access are not affected by this vulnerability.",PALO ALTO NETWORKS,Cloud NGFW; PAN-OS; Prisma Access,10.1.0; 10.2.0; 11.0.0; 11.1.0; 11.2.0; All,hot
69,CVE-2025-0128,palo_alto,2025-04-11T02:03:22.355Z,PAN-OS: Firewall Denial of Service (DoS) Using a Specially Crafted Packet,"A denial-of-service (DoS) vulnerability in the Simple Certificate Enrollment Protocol (SCEP) authentication feature of Palo Alto Networks PAN-OS® software enables an unauthenticated attacker to initiate system reboots using a maliciously crafted packet. Repeated attempts to initiate a reboot causes the firewall to enter maintenance mode.

Cloud NGFW is not affected by this vulnerability. Prisma® Access software is proactively patched and protected from this issue.",PALO ALTO NETWORKS,Cloud NGFW; PAN-OS; Prisma Access,10.1.0; 10.2.0; 11.0.0; 11.1.0; 11.2.0; All,hot
70,CVE-2025-0129,palo_alto,2025-04-11T22:25:36.346Z,Prisma Access Browser: Inappropriate control behavior in Prisma Access Browser,An improper exception check in Palo Alto Networks Prisma Access Browser allows a low privileged user to prevent Prisma Access Browser from applying it's Policy Rules. This enables the user to use Prisma Access Browser without any restrictions.,PALO ALTO NETWORKS,Prisma Access Browser,1,hot
71,CVE-2025-0130,palo_alto,2025-05-14T17:37:40.937Z,PAN-OS: Firewall Denial-of-Service (DoS) in the Web-Proxy Feature via a Burst of Maliciously Crafted Packets,"A missing exception check in Palo Alto Networks PAN-OS® software with the web proxy feature enabled allows an unauthenticated attacker to send a burst of maliciously crafted packets that causes the firewall to become unresponsive and eventually reboot. Repeated successful attempts to trigger this condition will cause the firewall to enter maintenance mode.

This issue does not affect Cloud NGFW or Prisma Access.",PALO ALTO NETWORKS,Cloud NGFW; PAN-OS; Prisma Access,10.1.0; 10.2.0; 11.1.0; 11.2.0; All,hot
72,CVE-2025-0131,palo_alto,2025-05-14T18:06:45.870Z,GlobalProtect App: Incorrect Privilege Management Vulnerability in OPSWAT MetaDefender Endpoint Security SDK,"An incorrect privilege management vulnerability in the OPSWAT MetaDefender Endpoint Security SDK used by the Palo Alto Networks GlobalProtect™ app on Windows devices allows a locally authenticated non-administrative Windows user to escalate their privileges to NT AUTHORITY\SYSTEM. However, execution requires that the local user also successfully exploits a race condition, which makes this vulnerability difficult to exploit.",OPSWAT,MetaDefender Endpoint Security SDK,4.3.0,warm
73,CVE-2025-0132,palo_alto,2025-05-14T18:07:15.351Z,Cortex XDR Broker VM: Unauthenticated User Can Disable Internal Services,"A missing authentication vulnerability in Palo Alto Networks Cortex XDR® Broker VM allows an unauthenticated user to disable certain internal services on the Broker VM. 

The attacker must have network access to the Broker VM to exploit this issue.",PALO ALTO NETWORKS,Cortex XDR Broker VM,26.0.0,hot
74,CVE-2025-0133,palo_alto,2025-05-14T18:07:36.381Z,PAN-OS: Reflected Cross-Site Scripting (XSS) Vulnerability in GlobalProtect Gateway and Portal,"A reflected cross-site scripting (XSS) vulnerability in the GlobalProtect™ gateway and portal features of Palo Alto Networks PAN-OS® software enables execution of malicious JavaScript in the context of an authenticated Captive Portal user's browser when they click on a specially crafted link. The primary risk is phishing attacks that can lead to credential theft—particularly if you enabled Clientless VPN.

There is no availability impact to GlobalProtect features or GlobalProtect users. Attackers cannot use this vulnerability to tamper with or modify contents or configurations of the GlobalProtect portal or gateways. The integrity impact of this vulnerability is limited to enabling an attacker to create phishing and credential-stealing links that appear to be hosted on the GlobalProtect portal.



For GlobalProtect users with Clientless VPN enabled, there is a limited impact on confidentiality due to inherent risks of Clientless VPN that facilitate credential theft. You can read more about this risk in the informational bulletin  PAN-SA-2025-0005 https://security.paloaltonetworks.com/PAN-SA-2025-0005   https://security.paloaltonetworks.com/PAN-SA-2025-0005 . There is no impact to confidentiality for GlobalProtect users if you did not enable (or you disable) Clientless VPN.",PALO ALTO NETWORKS,PAN-OS,10.1.0; 10.2.0; 11.1.0; 11.2.0,hot
75,CVE-2025-0134,palo_alto,2025-05-14T18:07:54.706Z,Cortex XDR Broker VM: Authenticated Code Injection Vulnerability in Broker VM,A code injection vulnerability in the Palo Alto Networks Cortex XDR® Broker VM allows an authenticated user to execute arbitrary code with root privileges on the host operating system running Broker VM.,PALO ALTO NETWORKS,Cortex XDR Broker VM,26.0.0,hot
76,CVE-2025-0135,palo_alto,2025-05-14T18:08:32.924Z,GlobalProtect App on macOS: Non Admin User Can Disable the GlobalProtect App,"An incorrect privilege assignment vulnerability in the Palo Alto Networks GlobalProtect™ App on macOS devices enables a locally authenticated non administrative user to disable the app.

The GlobalProtect app on Windows, Linux, iOS, Android, Chrome OS and GlobalProtect UWP app are not affected.",PALO ALTO NETWORKS,GlobalProtect App; GlobalProtect UWP App,6.0.0; 6.1.0; 6.2.0; 6.3.0; All,hot
77,CVE-2025-0136,palo_alto,2025-05-14T18:12:14.153Z,PAN-OS: Unencrypted Data Transfer when using AES-128-CCM on Intel-based hardware devices,"Using the AES-128-CCM algorithm for IPSec on certain Palo Alto Networks PAN-OS® firewalls (PA-7500, PA-5400, PA-5400f, PA-3400, PA-1600, PA-1400, and PA-400 Series) leads to unencrypted data transfer to devices that are connected to the PAN-OS firewall through IPSec.

This issue does not affect Cloud NGFWs, Prisma® Access instances, or  PAN-OS VM-Series firewalls.

NOTE: The AES-128-CCM encryption algorithm is not recommended for use.",PALO ALTO NETWORKS,Cloud NGFW; PAN-OS; Prisma Access,10.1.0; 10.2.0; 11.0.0; 11.1.0; 11.2.0; All,hot
78,CVE-2025-0137,palo_alto,2025-05-14T18:09:32.036Z,PAN-OS: Improper Neutralization of Input in the Management Web Interface,"An improper input neutralization vulnerability in the management web interface of the Palo Alto Networks PAN-OS® software enables a malicious authenticated read-write administrator to impersonate another legitimate authenticated PAN-OS administrator.


The attacker must have network access to the management web interface to exploit this issue. You greatly reduce the risk of this issue by restricting access to the management web interface to only trusted internal IP addresses according to our recommended  critical deployment guidelines https://live.paloaltonetworks.com/t5/community-blogs/tips-amp-tricks-how-to-secure-the-management-access-of-your-palo/ba-p/464431 .",PALO ALTO NETWORKS,Cloud NGFW; PAN-OS,10.1.0; 10.2.0; 11.1.0; 11.2.0; All,hot
80,CVE-2025-0139,palo_alto,2025-07-09T22:57:56.688Z,Autonomous Digital Experience Manager: Privilege Escalation (PE) Vulnerability,An incorrect privilege assignment vulnerability in Palo Alto Networks Autonomous Digital Experience Manager allows a locally authenticated low privileged user on macOS endpoints to escalate their privileges to root.,PALO ALTO NETWORKS,Autonomous Digital Experience Manager,5.6.0,hot
81,CVE-2025-0140,palo_alto,2025-07-09T22:58:28.536Z,GlobalProtect App: Non Admin User Can Disable the GlobalProtect App,"An incorrect privilege assignment vulnerability in the Palo Alto Networks GlobalProtect™ App on macOS devices enables a locally authenticated non administrative user to disable the app even if the GlobalProtect app configuration would not normally permit them to do so.

The GlobalProtect app on Windows, Linux, iOS, Android, Chrome OS and GlobalProtect UWP app are not affected.",PALO ALTO NETWORKS,GlobalProtect App; GlobalProtect UWP App,6.0.0; 6.1.0; 6.2.0; 6.3.0; All,hot
82,CVE-2025-0141,palo_alto,2025-07-09T22:58:54.755Z,GlobalProtect App: Privilege Escalation (PE) Vulnerability,"An incorrect privilege assignment vulnerability in the Palo Alto Networks GlobalProtect™ App on enables a locally authenticated non administrative user to escalate their privileges to root on macOS and Linux or NT AUTHORITY\SYSTEM on Windows.

The GlobalProtect app on iOS, Android, Chrome OS and GlobalProtect UWP app are not affected.",PALO ALTO NETWORKS,GlobalProtect App; GlobalProtect UWP App,6.0.0; 6.1.0; 6.2.0; 6.3.0; All,hot
